    PID TTY          TIME CMD
   1282 ?        00:00:00 gsd-a11y-settin
   1288 ?        00:00:00 gsd-color
   1291 ?        00:00:00 gsd-datetime
   1299 ?        00:00:00 gsd-housekeepin
   1300 ?        00:00:00 gsd-keyboard
   1301 ?        00:00:00 gsd-disk-utilit
   1303 ?        00:00:00 evolution-alarm
   1307 ?        00:00:00 gsd-media-keys
   1311 ?        00:00:02 gnome-software
   1312 ?        00:00:01 vmtoolsd
   1319 ?        00:00:00 gsd-power
   1322 ?        00:00:00 gsd-print-notif
   1328 ?        00:00:00 gsd-rfkill
   1338 ?        00:00:00 gsd-screensaver
   1352 ?        00:00:00 gsd-sharing
   1356 ?        00:00:00 gsd-smartcard
   1360 ?        00:00:00 gsd-sound
   1364 ?        00:00:00 gsd-printer
   1368 ?        00:00:00 gsd-usb-protect
   1383 ?        00:00:00 gsd-wacom
   1453 ?        00:00:00 fwupd
   1459 ?        00:00:00 ibus-daemon
   1460 ?        00:00:00 gsd-xsettings
   1476 ?        00:00:00 ibus-dconf
   1478 ?        00:00:01 ibus-extension-
   1482 ?        00:00:00 ibus-x11
   1487 ?        00:00:00 ibus-portal
   1532 ?        00:00:00 ibus-engine-sim
   1835 ?        00:00:22 firefox-esr
   1874 ?        00:00:00 xdg-desktop-por
   1878 ?        00:00:00 xdg-document-po
   1882 ?        00:00:00 fusermount
   1886 ?        00:00:00 xdg-desktop-por
   1912 ?        00:00:00 Socket Process
   1983 ?        00:00:01 Privileged Cont
   2004 ?        00:00:07 Isolated Web Co
   2040 ?        00:00:00 WebExtensions
   2067 ?        00:00:00 Web Content
   2095 ?        00:00:00 Web Content
   2127 ?        00:00:00 gvfsd-metadata
   2141 ?        00:00:00 Web Content
   2456 ?        00:00:04 gnome-terminal-
   2457 ?        00:00:00 gnome-calendar
   2460 ?        00:00:00 seahorse
   2489 ?        00:00:00 kworker/u256:5-events_unbound
   2491 ?        00:00:00 gvfsd-trash
   2599 pts/0    00:00:00 bash
   2614 ?        00:00:00 gvfsd-burn
   2773 ?        00:00:00 kworker/0:0-ata_sff
   2815 ?        00:00:00 kworker/u256:0-flush-8:0
   2818 pts/1    00:00:00 bash
   2825 pts/1    00:00:00 python3
   2829 ?        00:00:00 kworker/0:1-ata_sff
   2835 pts/0    00:00:00 ps
